family,models,mean_best_score,mean_best_use_case_recall,mean_best_path_fidelity,mean_best_unsupported_feature_rate,mean_best_elapsed_sec,best_model,best_condition,best_score
llama-text,1,26.605014376299728,0.2728942319934967,0.04344742063492064,0.5298115079365079,19.660125,llama3.2:3b,readme_only,26.605014376299728
other,1,25.798213246606785,0.25018464990891465,0.0671875,0.4520833333333333,22.496125000000003,deepseek-coder:6.7b,file_tree_only,25.798213246606785
qwen-coder,3,35.18981983229211,0.37236347190391306,0.14637372073197966,0.477703373015873,13.907104166666665,qwen2.5-coder:7b,readme_plus_code,39.55651996278515
qwen-text,1,36.96772139484483,0.41993781341207814,0.041156462585034005,0.3723958333333333,31.214937499999998,qwen2.5:3b,readme_only,36.96772139484483
