condition,rows,parse_ok,actor_recall,use_case_recall,path_fidelity,behavior_coverage,unsupported_feature_rate,elapsed_sec,composite_score,artifact_chars,predicted_use_cases
file_tree_only,96,1.0,0.42725694444444445,0.24915828146526667,0.04940369719015552,0.10825101884715059,0.6055638227513228,15.78994791666667,23.821879739170367,1817.0625,6.427083333333333
full_selected_context,96,0.90625,0.4812499999999999,0.3198758400504724,0.1091092293398841,0.11595086999272598,0.5460653640341141,27.607812500000005,29.281448398113966,33163.5625,5.78125
oracle_upper_bound,96,0.90625,0.4326388888888888,0.3274353301926831,0.13836641106358363,0.12626167835650745,0.5062045304232804,29.124625000000005,29.71222242690818,35080.75,5.5
random_code_same_budget,96,0.9270833333333334,0.37065972222222227,0.29498095348279163,0.11194733796296297,0.13200770079948757,0.5509135251322751,24.617,26.447454836270975,25254.4375,5.708333333333333
readme_only,96,0.9479166666666666,0.573784722222222,0.2954277544351073,0.02551351095993953,0.11515296976120543,0.5103257275132275,15.897052083333334,28.9499733401578,3490.4375,5.75
readme_plus_code,96,0.8958333333333334,0.46284722222222213,0.3243191755140285,0.11038617869812066,0.12488340276109,0.5401289682539684,26.026656250000002,29.287800520274526,28448.0,5.822916666666667
