condition,rows,composite_score_mean,composite_score_sd,composite_score_ci_low,composite_score_ci_high,use_case_recall_mean,use_case_recall_sd,use_case_recall_ci_low,use_case_recall_ci_high,path_fidelity_mean,path_fidelity_sd,path_fidelity_ci_low,path_fidelity_ci_high,unsupported_feature_rate_mean,unsupported_feature_rate_sd,unsupported_feature_rate_ci_low,unsupported_feature_rate_ci_high,elapsed_sec_mean,elapsed_sec_sd,elapsed_sec_ci_low,elapsed_sec_ci_high
file_tree_only,96,23.821879739170367,11.416414645221657,21.499108823544105,26.067132525265684,0.24915828146526667,0.18304380920698288,0.21552010208949546,0.28553635103152564,0.04940369719015552,0.09481946199009021,0.03179302323833574,0.06885072669903397,0.6055638227513228,0.2482737071101092,0.5563467261904763,0.6541378348214286,15.78994791666667,10.084980446052377,13.885063281250005,17.84994713541667
full_selected_context,96,29.281448398113966,17.09319792082973,26.00677727236937,32.44963855177262,0.3198758400504724,0.2594074064230901,0.26769140556135035,0.37182701885022656,0.1091092293398841,0.13559944265949572,0.08294831693001799,0.13671721096174685,0.5460653640341141,0.3131528313303082,0.4858560211489898,0.6093060859857735,27.607812500000005,17.16928676035235,24.418560677083324,31.09412135416667
oracle_upper_bound,96,29.71222242690818,17.60581011678766,26.215045985694637,33.09508602840659,0.3274353301926831,0.2546878324312505,0.27684504667615883,0.3778214690232154,0.13836641106358363,0.15388013267360243,0.10872465458063485,0.1698035732627435,0.5062045304232804,0.3237048596542761,0.4429042658730159,0.5679594494047618,29.124625000000005,18.397942122479492,25.61430260416666,33.04597890625001
random_code_same_budget,96,26.447454836270975,15.348405769623131,23.43636639281405,29.42062408023523,0.29498095348279163,0.2332189665436369,0.24953108650948722,0.3405599074383541,0.11194733796296297,0.13460676657668577,0.0858344700727513,0.1391964717863155,0.5509135251322751,0.28870471673812437,0.49340391451719573,0.6100080605158731,24.617,15.375765430326421,21.717271093750004,27.73801197916667
readme_only,96,28.9499733401578,14.115375945368976,26.045347312463164,31.737921632822935,0.2954277544351073,0.2004141624160219,0.25699970104956316,0.33511472034909534,0.02551351095993953,0.06607502748125617,0.01285874851834673,0.03963988551544355,0.5103257275132275,0.2864348044967379,0.45310743220899474,0.5692158564814813,15.897052083333334,11.000878216971005,13.841715364583344,18.139094270833336
readme_plus_code,96,29.287800520274526,18.27372474347651,25.57080060518287,32.755041655371706,0.3243191755140285,0.25956480516877617,0.2716930777810833,0.3775816862110519,0.11038617869812066,0.12721851654846014,0.08550887277456756,0.13531953922864917,0.5401289682539684,0.3068950408167151,0.4786439732142858,0.5979792906746032,26.026656250000002,15.80093310091336,23.052076041666652,29.148516406249982
