model,best_condition,composite_score,use_case_recall,path_fidelity,unsupported_feature_rate,elapsed_sec
deepseek-coder:6.7b,file_tree_only,25.798213246606785,0.25018464990891465,0.0671875,0.4520833333333333,22.496125000000003
llama3.2:3b,readme_only,26.605014376299728,0.2728942319934967,0.04344742063492064,0.5298115079365079,19.660125
qwen2.5-coder:1.5b,full_selected_context,30.695556664104814,0.2740884115884116,0.11348389024170275,0.5614583333333334,6.766124999999999
qwen2.5-coder:3b,readme_plus_code,35.31738286998636,0.3871761816614758,0.18114741161616163,0.5015625,12.611937500000002
qwen2.5-coder:7b,readme_plus_code,39.55651996278515,0.4558258224618518,0.1444898603380746,0.37008928571428573,22.343249999999998
qwen2.5:3b,readme_only,36.96772139484483,0.41993781341207814,0.041156462585034005,0.3723958333333333,31.214937499999998
