repo,project,condition,model,artifact_chars,gold_use_cases,predicted_use_cases,matched_use_cases,parse_ok,actor_recall,use_case_recall,path_fidelity,behavior_coverage,unsupported_feature_rate,elapsed_sec,composite_score
4jean__lav_sms,LAVSMS Laravel School Management,readme_only,qwen2.5-coder:14b,3576,11,8,4,1,0.5,0.36363636363636365,0.0,0.10181412337662338,0.5,38.163,29.254484577922078
4jean__lav_sms,LAVSMS Laravel School Management,file_tree_only,qwen2.5-coder:14b,4907,11,5,3,1,0.75,0.2727272727272727,0.27499999999999997,0.16770186335403725,0.4,29.771,38.5609824957651
4jean__lav_sms,LAVSMS Laravel School Management,readme_plus_code,qwen2.5-coder:14b,39646,11,8,4,1,0.5,0.36363636363636365,0.0,0.13095086898395725,0.5,67.815,29.691535762032085
4jean__lav_sms,LAVSMS Laravel School Management,random_code_same_budget,qwen2.5-coder:14b,35828,11,4,2,1,0.5,0.18181818181818182,0.0625,0.16466165413533834,0.5,51.536,25.083561175666443
4jean__lav_sms,LAVSMS Laravel School Management,full_selected_context,qwen2.5-coder:14b,50577,11,8,5,1,0.5,0.45454545454545453,0.05357142857142857,0.10048867709351579,0.375,82.964,34.73784963692222
4jean__lav_sms,LAVSMS Laravel School Management,oracle_upper_bound,qwen2.5-coder:14b,50594,11,8,3,1,0.5,0.2727272727272727,0.047619047619047616,0.12373737373737374,0.625,97.359,26.1038961038961
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,readme_only,qwen2.5-coder:14b,255,7,3,2,1,0.0,0.2857142857142857,0.14583333333333331,0.1481818181818182,0.3333333333333333,13.127,21.806060606060605
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,file_tree_only,qwen2.5-coder:14b,844,7,8,3,1,1.0,0.42857142857142855,0.2698412698412698,0.1697746697746698,0.625,37.127,46.69344544344545
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,readme_plus_code,qwen2.5-coder:14b,17089,7,8,6,1,1.0,0.8571428571428571,0.15436507936507934,0.19172705314009664,0.25,45.189,63.463207384403034
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,random_code_same_budget,qwen2.5-coder:14b,23193,7,8,4,1,1.0,0.5714285714285714,0.07142857142857142,0.2070616883116883,0.5,56.989,49.534496753246756
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,full_selected_context,qwen2.5-coder:14b,18237,7,8,6,1,1.0,0.8571428571428571,0.12103174603174603,0.1909036012296882,0.25,46.293,62.784188939080245
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,Student DBMS Spring Boot,oracle_upper_bound,qwen2.5-coder:14b,18966,7,8,5,1,1.0,0.7142857142857143,0.2333333333333333,0.20974025974025973,0.375,57.902,59.06277056277056
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,readme_only,qwen2.5-coder:14b,595,4,1,0,1,0.0,0.0,0.0,0.0,1.0,7.015,0.0
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,file_tree_only,qwen2.5-coder:14b,223,4,8,3,1,1.0,0.75,0.0,0.20721003134796237,0.625,37.22,53.10815047021943
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,readme_plus_code,qwen2.5-coder:14b,13344,4,4,4,1,1.0,1.0,0.22916666666666666,0.2798062074377864,0.0,26.624,73.78042644490014
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,random_code_same_budget,qwen2.5-coder:14b,13579,4,8,2,1,1.0,0.5,0.0,0.17142857142857143,0.75,47.293,42.57142857142857
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,full_selected_context,qwen2.5-coder:14b,13587,4,4,4,1,1.0,1.0,0.22916666666666666,0.2798062074377864,0.0,26.975,73.78042644490014
Asitha123__Java-Spring-boot-Student-Management-System,Student Management System Spring Boot,oracle_upper_bound,qwen2.5-coder:14b,14321,4,4,4,1,1.0,1.0,0.22916666666666666,0.28158683421841313,0.0,27.039,73.80713584660954
JacksonGao1999__StudentManagement,Student Management CRUD,readme_only,qwen2.5-coder:14b,821,6,5,3,1,1.0,0.5,0.06666666666666667,0.16630579297245965,0.4,18.411,47.327920227920224
JacksonGao1999__StudentManagement,Student Management CRUD,file_tree_only,qwen2.5-coder:14b,435,6,4,3,1,1.0,0.5,0.21666666666666667,0.13701732083267124,0.25,20.126,51.3885931458234
JacksonGao1999__StudentManagement,Student Management CRUD,readme_plus_code,qwen2.5-coder:14b,6655,6,5,4,1,1.0,0.6666666666666666,0.23333333333333334,0.2509057971014493,0.2,25.689,59.76358695652175
JacksonGao1999__StudentManagement,Student Management CRUD,random_code_same_budget,qwen2.5-coder:14b,36095,6,8,2,1,1.0,0.3333333333333333,0.5333333333333333,0.14411764705882354,0.75,74.084,46.99509803921569
JacksonGao1999__StudentManagement,Student Management CRUD,full_selected_context,qwen2.5-coder:14b,10738,6,4,3,1,1.0,0.5,0.48888888888888893,0.3055555555555555,0.25,28.542,59.36111111111111
JacksonGao1999__StudentManagement,Student Management CRUD,oracle_upper_bound,qwen2.5-coder:14b,19443,6,7,5,1,1.0,0.8333333333333334,0.47333333333333333,0.2685185185185185,0.2857142857142857,49.866,69.80396825396825
RameshMF__library-management-system,Library Management REST API,readme_only,qwen2.5-coder:14b,245,6,0,0,1,0.0,0.0,0.0,0.0,1.0,2.496,0.0
