family,models,mean_best_score,mean_best_use_case_recall,mean_best_path_fidelity,mean_best_unsupported_feature_rate,mean_best_elapsed_sec,best_model,best_condition,best_score
gemma,1,40.20693946742641,0.44912367044719986,0.12483540764790764,0.43189484126984123,19.9128125,gemma3:4b,full_selected_context,40.20693946742641
granite,1,19.87165397677025,0.13611694677871147,0.03125,0.5241815476190477,5.644875,granite3.2-vision:latest,readme_only,19.87165397677025
llama-text,1,27.77558739740636,0.3050432716793011,0.03627232142857143,0.46597222222222223,5.5880624999999995,llama3.2:3b,readme_only,27.77558739740636
llama-vision,1,42.86790608594357,0.36884249329102275,0.23728385040885047,0.31011904761904757,32.557750000000006,llama3.2-vision:11b,readme_plus_code,42.86790608594357
qwen-coder,4,38.31019975768478,0.4037836933287301,0.20686396007266544,0.3951822916666667,25.079375,qwen2.5-coder:14b,full_selected_context,48.06503574313248
qwen-text,1,37.783334076052874,0.43011039205892143,0.05829482645330859,0.3859375,8.509375,qwen2.5:3b,readme_plus_tree,37.783334076052874
qwen-vl,1,29.891237288043452,0.2952495421245421,0.15344742063492062,0.32361111111111107,26.558375,qwen2.5vl:3b,full_selected_context,29.891237288043452
