condition,rows,parse_ok,actor_recall,use_case_recall,path_fidelity,behavior_coverage,unsupported_feature_rate,elapsed_sec,composite_score,artifact_chars,predicted_use_cases
file_tree_only,48,1.0,0.4479166666666667,0.23588515242927002,0.04358878968253968,0.11098440364342373,0.5558449074074074,23.91977083333334,24.192406442585863,1817.0625,6.041666666666667
full_selected_context,48,0.8333333333333334,0.42569444444444443,0.2771723068598068,0.06899457926057628,0.10446961466285036,0.5870712042587043,39.916562500000005,25.29114339154937,33163.5625,4.729166666666667
oracle_upper_bound,48,0.8125,0.34062499999999996,0.2607098885591532,0.0949453828248471,0.11593877670094922,0.5987599206349207,42.438958333333325,23.58773620023233,35080.75,4.395833333333333
random_code_same_budget,48,0.8541666666666666,0.3086805555555555,0.2592121012157777,0.0846861096079846,0.13625655358344033,0.5434027777777778,35.848020833333344,23.549577371796854,25254.4375,4.541666666666667
readme_only,48,0.8958333333333334,0.49340277777777786,0.2986091420834067,0.03541404693190408,0.11643050991271377,0.4708746693121694,24.207208333333337,28.0653674226819,3490.4375,5.145833333333333
readme_plus_code,48,0.8333333333333334,0.37499999999999994,0.2760808431764314,0.06353360615079365,0.1165237443488753,0.586111111111111,38.116291666666676,24.32024668831298,28448.0,4.854166666666667
