repo,condition,rows,parse_ok,actor_recall,use_case_recall,path_fidelity,behavior_coverage,unsupported_feature_rate,elapsed_sec,composite_score,artifact_chars,predicted_use_cases
4jean__lav_sms,file_tree_only,3,1.0,0.5833333333333334,0.21212121212121213,0.0,0.061815780017534405,0.6527777777777778,28.395666666666667,23.49036801339433,4907.0,7.333333333333333
4jean__lav_sms,full_selected_context,3,1.0,0.3333333333333333,0.15151515151515152,0.0,0.09529089471618207,0.7166666666666667,50.82833333333334,16.232393723773033,50577.0,4.333333333333333
4jean__lav_sms,oracle_upper_bound,3,0.6666666666666666,0.16666666666666666,0.15151515151515152,0.08134920634920635,0.07948654350937429,0.7416666666666667,49.04266666666666,14.038979249321711,50594.0,4.333333333333333
4jean__lav_sms,random_code_same_budget,3,0.6666666666666666,0.16666666666666666,0.12121212121212122,0.0,0.12613067059868413,0.7222222222222222,36.785999999999994,12.245495412515615,35828.0,3.3333333333333335
4jean__lav_sms,readme_only,3,0.6666666666666666,0.3333333333333333,0.12121212121212122,0.0,0.09331705331705331,0.7916666666666666,27.33966666666667,14.392180042180042,3576.0,4.0
4jean__lav_sms,readme_plus_code,3,0.6666666666666666,0.25,0.0909090909090909,0.0,0.11521915584415583,0.8333333333333334,44.07566666666667,11.576772186147187,39646.0,4.0
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,file_tree_only,3,1.0,0.3333333333333333,0.19047619047619047,0.023809523809523808,0.12182233059294527,0.7916666666666666,21.064666666666664,17.72019210175132,844.0,6.666666666666667
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,full_selected_context,3,1.0,0.3333333333333333,0.6666666666666666,0.07651171579743009,0.20506515266646164,0.19166666666666665,32.303666666666665,42.68954493927887,18237.0,5.666666666666667
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,oracle_upper_bound,3,1.0,0.3333333333333333,0.5714285714285715,0.022321428571428572,0.18486205709086204,0.36944444444444446,33.73133333333333,36.191581650013724,18966.0,6.333333333333333
AdityaKshettri__Student-Database-Management-System-using-JAVA-Spring-Boot,random_code_same_budget,3,1.0,0.0,0.5238095238095238,0.09174603174603174,0.1721033411033411,0.3888888888888889,37.341,28.860915195915197,23193.0,6.0
