repo,project,condition,model,artifact_chars,gold_use_cases,predicted_use_cases,matched_use_cases,parse_ok,actor_recall,use_case_recall,path_fidelity,behavior_coverage,unsupported_feature_rate,elapsed_sec,composite_score
knowledgefactory4u__librarymanagementsystem,Spring Boot Library Management System,random_code_same_budget,qwen2.5:3b,27678,10,8,3,1,0.0,0.3,0.3055555555555555,0.13263532333299777,0.625,57.739,22.350640961106077
knowledgefactory4u__librarymanagementsystem,Spring Boot Library Management System,full_selected_context,qwen2.5:3b,36207,10,0,0,0,0.0,0.0,0.0,0.0,1.0,79.159,0.0
knowledgefactory4u__librarymanagementsystem,Spring Boot Library Management System,oracle_upper_bound,qwen2.5:3b,36908,10,4,2,1,1.0,0.2,0.425,0.1715686274509804,0.5,43.471,43.07352941176471
mehmetpekdemir__Library-Management-System,Spring Boot Library Management System,readme_only,qwen2.5:3b,1244,8,5,5,1,0.0,0.625,0.03333333333333333,0.20630036630036627,0.0,27.144,35.63617216117216
mehmetpekdemir__Library-Management-System,Spring Boot Library Management System,file_tree_only,qwen2.5:3b,318,8,8,4,1,0.0,0.5,0.10416666666666666,0.19261982570806102,0.5,31.731,27.47263071895425
mehmetpekdemir__Library-Management-System,Spring Boot Library Management System,readme_plus_code,qwen2.5:3b,29379,8,8,7,1,0.0,0.875,0.2445887445887446,0.13611909084259316,0.125,47.539,46.30856125441379
mehmetpekdemir__Library-Management-System,Spring Boot Library Management System,random_code_same_budget,qwen2.5:3b,30947,8,8,4,1,0.0,0.5,0.25,0.09742756693976207,0.5,51.413,28.961413504096427
mehmetpekdemir__Library-Management-System,Spring Boot Library Management System,full_selected_context,qwen2.5:3b,30075,8,8,5,1,0.0,0.625,0.26666666666666666,0.14167561622804586,0.375,49.133,35.583467576754025
mehmetpekdemir__Library-Management-System,Spring Boot Library Management System,oracle_upper_bound,qwen2.5:3b,31458,8,8,4,1,0.0,0.5,0.25,0.14475283089413524,0.5,58.484,29.671292463412023
mwinamijr__django-scms,Django School Management System API,readme_only,qwen2.5:3b,2284,14,8,2,1,0.5,0.14285714285714285,0.0,0.08114035087719298,0.75,37.872,18.717105263157894
mwinamijr__django-scms,Django School Management System API,file_tree_only,qwen2.5:3b,1548,14,3,1,1,0.5,0.07142857142857142,0.0,0.16326530612244897,0.6666666666666666,18.821,18.282312925170068
mwinamijr__django-scms,Django School Management System API,readme_plus_code,qwen2.5:3b,33790,14,8,1,1,0.25,0.07142857142857142,0.0,0.07317073170731707,0.875,43.612,9.847560975609754
mwinamijr__django-scms,Django School Management System API,random_code_same_budget,qwen2.5:3b,19928,14,3,1,1,0.5,0.07142857142857142,0.2,0.2692307692307692,0.6666666666666666,19.743,23.871794871794872
mwinamijr__django-scms,Django School Management System API,full_selected_context,qwen2.5:3b,41131,14,4,2,1,0.75,0.14285714285714285,0.0,0.07786357786357787,0.5,31.207,26.167953667953668
mwinamijr__django-scms,Django School Management System API,oracle_upper_bound,qwen2.5:3b,46079,14,4,1,1,0.75,0.07142857142857142,0.0,0.10526315789473684,0.75,34.955,21.578947368421055
openfun__marsha,Marsha Educational Media Platform,readme_only,qwen2.5:3b,10040,15,8,4,1,0.6666666666666666,0.26666666666666666,0.0,0.15544294294294295,0.5,42.516,29.998310810810807
openfun__marsha,Marsha Educational Media Platform,file_tree_only,qwen2.5:3b,5007,15,8,2,1,0.3333333333333333,0.13333333333333333,0.0,0.06119951040391677,0.75,44.179,14.751325989392083
openfun__marsha,Marsha Educational Media Platform,readme_plus_code,qwen2.5:3b,46104,15,2,2,1,0.3333333333333333,0.13333333333333333,0.041666666666666664,0.13626126126126126,0.0,24.556,24.210585585585584
