model,condition,rows,parse_ok,actor_recall,use_case_recall,path_fidelity,behavior_coverage,unsupported_feature_rate,elapsed_sec,composite_score,artifact_chars,predicted_use_cases
deepseek-coder:6.7b,file_tree_only,16,1.0,0.415625,0.25018464990891465,0.0671875,0.12708892220854037,0.4520833333333333,22.496125000000003,25.798213246606785,1817.0625,4.6875
deepseek-coder:6.7b,full_selected_context,16,0.625,0.26041666666666663,0.17419871794871794,0.07328869047619048,0.06759093957841533,0.6936011904761905,40.7686875,16.848914459976598,33163.5625,2.25
deepseek-coder:6.7b,oracle_upper_bound,16,0.5,0.1875,0.17673992673992675,0.05638020833333333,0.0632125965703819,0.7677083333333333,47.0330625,14.334607217786498,35080.75,2.4375
deepseek-coder:6.7b,random_code_same_budget,16,0.625,0.3541666666666667,0.21786286630036633,0.05474781295093795,0.10098074634753544,0.5651041666666667,37.39,21.667159441411282,25254.4375,3.0
deepseek-coder:6.7b,readme_only,16,0.6875,0.3375,0.20299538084464555,0.021638257575757575,0.09599531216600286,0.5104166666666667,21.7465625,20.623366496901124,3490.4375,2.75
deepseek-coder:6.7b,readme_plus_code,16,0.5625,0.21875,0.16028502747252746,0.04680555555555555,0.05042739121503107,0.7543154761904761,38.3545625,14.134343178970276,28448.0,2.1875
llama3.2:3b,file_tree_only,16,1.0,0.31666666666666665,0.25097234260837203,0.04114583333333333,0.09768924233924604,0.7076388888888889,23.997000000000003,20.329231737492826,1817.0625,7.9375
llama3.2:3b,full_selected_context,16,0.9375,0.4000000000000001,0.27663950632700635,0.07355152288188004,0.11540851346898384,0.5434804778554778,31.7994375,25.449736102562795,33163.5625,5.1875
llama3.2:3b,oracle_upper_bound,16,0.9375,0.28854166666666664,0.19533799533799537,0.10555555555555557,0.1218019264966028,0.6,32.0710625,20.54580317872332,35080.75,4.0
llama3.2:3b,random_code_same_budget,16,0.9375,0.21041666666666667,0.17681693306693305,0.04735863095238095,0.13383246430253998,0.5677083333333333,24.784250000000004,17.674502240928376,25254.4375,3.75
llama3.2:3b,readme_only,16,1.0,0.4916666666666667,0.2728942319934967,0.04344742063492064,0.10996997265737841,0.5298115079365079,19.660125,26.605014376299728,3490.4375,5.8125
llama3.2:3b,readme_plus_code,16,0.9375,0.37499999999999994,0.2679357101232101,0.06127260326479076,0.14497400154415493,0.5517857142857143,30.342125,24.759954799913352,28448.0,5.0625
qwen2.5:3b,file_tree_only,16,1.0,0.6114583333333332,0.2064984647705236,0.02243303571428571,0.10817504638248476,0.5078125,25.2661875,26.449774343657975,1817.0625,5.5
qwen2.5:3b,full_selected_context,16,0.9375,0.6166666666666667,0.38067869630369633,0.06014352442365835,0.13040939094115192,0.5241319444444444,47.1815625,33.574779612108706,33163.5625,6.75
qwen2.5:3b,oracle_upper_bound,16,1.0,0.5458333333333334,0.41005174359953767,0.12290038458565246,0.162801807035863,0.4285714285714286,48.21275,35.882798204187196,35080.75,6.75
qwen2.5:3b,random_code_same_budget,16,1.0,0.3614583333333333,0.38295650428003364,0.15195188492063494,0.17395645010024555,0.4973958333333333,45.369812499999995,31.30707043305089,25254.4375,6.875
qwen2.5:3b,readme_only,16,1.0,0.6510416666666666,0.41993781341207814,0.041156462585034005,0.1433262449147601,0.3723958333333333,31.214937499999998,36.96772139484483,3490.4375,6.875
qwen2.5:3b,readme_plus_code,16,1.0,0.53125,0.4000217919335567,0.08252265963203465,0.15416984028743994,0.45223214285714286,45.652187500000004,34.066442086055346,28448.0,7.3125
