condition,rows,parse_ok,actor_recall,use_case_recall,path_fidelity,behavior_coverage,unsupported_feature_rate,elapsed_sec,composite_score,artifact_chars,predicted_use_cases
file_tree_only,18,0.7777777777777778,0.3148148148148148,0.2314814814814815,0.02482363315696649,0.09521886506707421,0.7847222222222222,14.716222222222221,18.47568156507137,4180.333333333333,5.277777777777778
full_selected_context,18,0.7777777777777778,0.3287037037037037,0.2499999999999999,0.06210317460317459,0.11707715084437341,0.7930555555555556,37.44722222222222,20.391739273247612,49351.666666666664,5.666666666666667
oracle_upper_bound,18,0.7222222222222222,0.25462962962962965,0.3333333333333333,0.15699294532627867,0.11839976544499481,0.7291666666666666,36.040055555555554,24.38344798079309,50469.333333333336,5.111111111111111
random_code_same_budget,18,0.9444444444444444,0.412037037037037,0.21296296296296294,0.0294753086419753,0.10932201988839435,0.662037037037037,25.000833333333333,21.30341054523949,34309.166666666664,4.888888888888889
readme_only,18,0.8888888888888888,0.3611111111111111,0.33333333333333337,0.03306878306878307,0.11718877977818187,0.6805555555555556,17.065500000000004,24.502540691381725,7589.0,6.222222222222222
readme_plus_code,18,0.8333333333333334,0.41203703703703703,0.2129629629629629,0.037138447971781306,0.08784950458020087,0.8402777777777778,31.48088888888888,19.352178194805305,42280.166666666664,5.666666666666667
