family,models,mean_best_score,mean_best_use_case_recall,mean_best_path_fidelity,mean_best_unsupported_feature_rate,mean_best_elapsed_sec,best_model,best_condition,best_score
other,1,17.90281804915951,0.13888888888888887,0.0,0.611111111111111,27.813666666666666,deepseek-coder:6.7b,random_code_same_budget,17.90281804915951
qwen-coder,1,30.77142620205036,0.44444444444444436,0.10813492063492063,0.6666666666666666,51.1655,qwen2.5-coder:7b,full_selected_context,30.77142620205036
qwen-text,1,28.56720182081813,0.4166666666666666,0.02962962962962963,0.6875,7.866666666666666,qwen2.5:3b,readme_only,28.56720182081813
