family,models,mean_best_score,mean_best_use_case_recall,mean_best_path_fidelity,mean_best_unsupported_feature_rate,mean_best_elapsed_sec,best_model,best_condition,best_score
llama-text,1,26.605014376299728,0.2728942319934967,0.04344742063492064,0.5298115079365079,19.660125,llama3.2:3b,readme_only,26.605014376299728
other,1,25.798213246606785,0.25018464990891465,0.0671875,0.4520833333333333,22.496125000000003,deepseek-coder:6.7b,file_tree_only,25.798213246606785
qwen-coder,5,39.919226323825015,0.4308173689056042,0.15429496656617192,0.41099702380952385,39.8952625,qwen2.5-coder:14b,readme_plus_code,47.76760805735651
qwen-text,1,36.96772139484483,0.41993781341207814,0.041156462585034005,0.3723958333333333,31.214937499999998,qwen2.5:3b,readme_only,36.96772139484483
