model,comparison,pairs,composite_score_delta_mean,composite_score_delta_sd,composite_score_delta_ci_low,composite_score_delta_ci_high,use_case_recall_delta_mean,use_case_recall_delta_sd,use_case_recall_delta_ci_low,use_case_recall_delta_ci_high,path_fidelity_delta_mean,path_fidelity_delta_sd,path_fidelity_delta_ci_low,path_fidelity_delta_ci_high,unsupported_feature_rate_delta_mean,unsupported_feature_rate_delta_sd,unsupported_feature_rate_delta_ci_low,unsupported_feature_rate_delta_ci_high,elapsed_sec_delta_mean,elapsed_sec_delta_sd,elapsed_sec_delta_ci_low,elapsed_sec_delta_ci_high
qwen2.5-coder:1.5b,readme_plus_code_minus_readme_only,0,,,,,,,,,,,,,,,,,,,,
qwen2.5-coder:1.5b,bm25_minus_readme_plus_code,0,,,,,,,,,,,,,,,,,,,,
qwen2.5-coder:1.5b,bm25_minus_random_code,0,,,,,,,,,,,,,,,,,,,,
qwen2.5-coder:1.5b,full_minus_readme_plus_code,0,,,,,,,,,,,,,,,,,,,,
qwen2.5-coder:1.5b,readme_plus_code_minus_file_tree,0,,,,,,,,,,,,,,,,,,,,
qwen2.5-coder:1.5b,readme_plus_code_minus_random_code,0,,,,,,,,,,,,,,,,,,,,
qwen2.5-coder:1.5b,routes_minus_file_tree,0,,,,,,,,,,,,,,,,,,,,
qwen2.5-coder:1.5b,models_minus_file_tree,0,,,,,,,,,,,,,,,,,,,,
qwen2.5-coder:1.5b,oracle_upper_bound_minus_readme_plus_code,0,,,,,,,,,,,,,,,,,,,,
pooled,readme_plus_code_minus_readme_only,0,,,,,,,,,,,,,,,,,,,,
pooled,bm25_minus_readme_plus_code,0,,,,,,,,,,,,,,,,,,,,
pooled,bm25_minus_random_code,0,,,,,,,,,,,,,,,,,,,,
pooled,full_minus_readme_plus_code,0,,,,,,,,,,,,,,,,,,,,
pooled,readme_plus_code_minus_file_tree,0,,,,,,,,,,,,,,,,,,,,
pooled,readme_plus_code_minus_random_code,0,,,,,,,,,,,,,,,,,,,,
pooled,routes_minus_file_tree,0,,,,,,,,,,,,,,,,,,,,
pooled,models_minus_file_tree,0,,,,,,,,,,,,,,,,,,,,
pooled,oracle_upper_bound_minus_readme_plus_code,0,,,,,,,,,,,,,,,,,,,,
