match_threshold,condition,rows,parse_ok,use_case_recall,path_fidelity,unsupported_feature_rate,composite_score
0.2,file_tree_only,1,1.0,0.36363636363636365,0.0,0.5555555555555556,33.51249098124099
0.2,readme_only,1,1.0,0.36363636363636365,0.0,0.42857142857142855,24.320487182329284
0.2,readme_plus_tree,1,1.0,0.36363636363636365,0.0,0.42857142857142855,24.37226426197014
0.24,file_tree_only,1,1.0,0.09090909090909091,0.0,0.8888888888888888,21.167929292929294
0.24,readme_only,1,1.0,0.18181818181818182,0.0,0.7142857142857143,14.83481430849852
0.24,readme_plus_tree,1,1.0,0.18181818181818182,0.0,0.7142857142857143,15.105300105300104
0.28,file_tree_only,1,1.0,0.0,0.0,1.0,15.000000000000002
0.28,readme_only,1,1.0,0.09090909090909091,0.0,0.8571428571428571,11.545873481357352
0.28,readme_plus_tree,1,1.0,0.09090909090909091,0.0,0.8571428571428571,11.11038961038961
0.32,file_tree_only,1,1.0,0.0,0.0,1.0,15.000000000000002
0.32,readme_only,1,1.0,0.09090909090909091,0.0,0.8571428571428571,11.545873481357352
0.32,readme_plus_tree,1,1.0,0.09090909090909091,0.0,0.8571428571428571,11.11038961038961
0.36,file_tree_only,1,1.0,0.0,0.0,1.0,15.000000000000002
0.36,readme_only,1,1.0,0.09090909090909091,0.0,0.8571428571428571,11.545873481357352
0.36,readme_plus_tree,1,1.0,0.09090909090909091,0.0,0.8571428571428571,11.11038961038961
0.4,file_tree_only,1,1.0,0.0,0.0,1.0,15.000000000000002
0.4,readme_only,1,1.0,0.09090909090909091,0.0,0.8571428571428571,11.545873481357352
0.4,readme_plus_tree,1,1.0,0.09090909090909091,0.0,0.8571428571428571,11.11038961038961
