model,condition,rows,parse_ok,actor_recall,use_case_recall,path_fidelity,behavior_coverage,unsupported_feature_rate,elapsed_sec,composite_score,artifact_chars,predicted_use_cases
qwen2.5-coder:1.5b,bm25_retrieved_code,16,0.875,0.35833333333333334,0.2407924795792443,0.09052083333333334,0.12131621093699219,0.6154423701298701,7.494125000000001,23.070139581363065,35167.8125,5.0
qwen2.5-coder:1.5b,file_tree_only,16,1.0,0.46249999999999997,0.18964056776556779,0.03984375,0.07048980078087694,0.7020089285714285,3.04925,20.72155259779374,1817.0625,4.9375
qwen2.5-coder:1.5b,full_selected_context,16,0.9375,0.6447916666666668,0.2740884115884116,0.11348389024170275,0.10343563024509034,0.5614583333333334,6.766124999999999,30.695556664104814,33163.5625,5.1875
qwen2.5-coder:1.5b,models_services,16,1.0,0.5697916666666667,0.1686724733599734,0.0515625,0.0957342081268057,0.7148065476190476,4.976812499999999,22.618567546644012,16850.1875,5.5
qwen2.5-coder:1.5b,oracle_upper_bound,16,1.0,0.5510416666666667,0.32952041830718304,0.1572482638888889,0.1376967823051986,0.4756944444444445,7.0039375,33.00752054199605,35080.75,5.6875
qwen2.5-coder:1.5b,random_code_same_budget,16,1.0,0.3770833333333333,0.23846153846153847,0.11272321428571429,0.10675451045102136,0.5634920634920635,5.453749999999999,24.108681820379484,25254.4375,5.125
qwen2.5-coder:1.5b,readme_only,16,1.0,0.6479166666666666,0.20164106726606731,0.010416666666666666,0.09042710822574124,0.6046130952380954,2.7798125000000002,25.534379691984185,3490.4375,4.3125
qwen2.5-coder:1.5b,readme_plus_code,16,0.9375,0.4833333333333334,0.2746705194315488,0.14607898178210682,0.11988884308570276,0.6107886904761906,6.855875,27.89216022393665,28448.0,5.9375
qwen2.5-coder:1.5b,readme_plus_tree,16,1.0,0.6708333333333334,0.2593015134375428,0.06922123015873016,0.10125533027464967,0.5453869047619048,3.3821250000000003,29.941605146655967,5309.5,4.875
qwen2.5-coder:1.5b,routes_controllers,16,1.0,0.43645833333333334,0.21083864052614054,0.13679935515873018,0.11809431718863769,0.6309523809523809,4.287625,24.306397136561944,17247.625,4.875
qwen2.5-coder:3b,bm25_retrieved_code,16,0.875,0.4104166666666667,0.35407509157509154,0.12969990079365082,0.1113145829726667,0.5783234126984127,14.897750000000002,29.081444171940426,35167.8125,6.375
qwen2.5-coder:3b,file_tree_only,16,1.0,0.265625,0.28358237963017374,0.0784237463924964,0.10137833281728224,0.6763392857142857,8.2131875,21.563640350022386,1817.0625,7.9375
qwen2.5-coder:3b,full_selected_context,16,1.0,0.4708333333333333,0.35843629409805877,0.18523414953102454,0.13164682689726148,0.553422619047619,13.793874999999998,32.10709616370194,33163.5625,7.75
qwen2.5-coder:3b,models_services,16,1.0,0.278125,0.313309484633014,0.13613095238095238,0.11046363467253292,0.6691468253968254,10.747125,24.216437275894286,16850.1875,7.625
qwen2.5-coder:3b,oracle_upper_bound,16,1.0,0.5333333333333332,0.3665229378464672,0.16966747083934583,0.12750588029792873,0.44828869047619047,14.2458125,34.318020207786965,35080.75,6.8125
qwen2.5-coder:3b,random_code_same_budget,16,1.0,0.3927083333333334,0.38757388444888446,0.14772242514430012,0.12289228824623816,0.586111111111111,12.898499999999999,30.355974337846085,25254.4375,7.9375
qwen2.5-coder:3b,readme_only,16,1.0,0.6458333333333333,0.2971620903606198,0.02919146825396825,0.11745126384010333,0.5863839285714286,7.5115625,29.799098866254987,3490.4375,7.1875
qwen2.5-coder:3b,readme_plus_code,16,0.9375,0.5645833333333333,0.3871761816614758,0.18114741161616163,0.12448177418965382,0.5015625,12.611937500000002,35.31738286998636,28448.0,7.125
qwen2.5-coder:3b,readme_plus_tree,16,1.0,0.46041666666666675,0.2863183079175726,0.0744171626984127,0.11661989759770014,0.5703125,8.280625,26.763990828382127,5309.5,7.3125
qwen2.5-coder:3b,routes_controllers,16,0.875,0.40312500000000007,0.2768771057373999,0.11858258928571429,0.09331210249060008,0.6685267857142857,10.591375,24.839264166739422,17247.625,6.1875
qwen2.5-coder:7b,bm25_retrieved_code,16,1.0,0.60625,0.4560416299386888,0.15969516594516595,0.14856855681399903,0.4296875,27.656062499999994,39.212013718967405,35167.8125,7.875
qwen2.5-coder:7b,file_tree_only,16,1.0,0.49166666666666664,0.3140712841080488,0.047388317700817695,0.14468476855447338,0.5875,11.7179375,28.068866159448493,1817.0625,7.5625
qwen2.5-coder:7b,full_selected_context,16,1.0,0.4947916666666667,0.45521341403694343,0.1489535984848485,0.14721391882545312,0.400297619047619,25.337187499999995,37.01260738622892,33163.5625,7.5625
qwen2.5-coder:7b,models_services,16,1.0,0.5489583333333333,0.36383071585277466,0.11424709467120182,0.13512170017757688,0.49635416666666665,16.862875000000003,33.0614674509348,16850.1875,7.0
qwen2.5-coder:7b,oracle_upper_bound,16,1.0,0.48958333333333337,0.48643895932498865,0.21844658317872606,0.14455107743306972,0.3169642857142857,26.181125000000005,40.18458521096898,35080.75,7.3125
qwen2.5-coder:7b,random_code_same_budget,16,1.0,0.528125,0.3662139943389944,0.15718005952380953,0.15362974534934462,0.5256696428571428,21.805687500000005,33.57134074400973,25254.4375,7.5625
qwen2.5-coder:7b,readme_only,16,1.0,0.66875,0.3779359427337368,0.0072307900432900425,0.1337479167632466,0.4583333333333333,12.469312500000003,34.17025921466196,3490.4375,7.5625
qwen2.5-coder:7b,readme_plus_code,16,1.0,0.6041666666666666,0.4558258224618518,0.1444898603380746,0.15535856624455763,0.37008928571428573,22.343249999999998,39.55651996278515,28448.0,7.3125
qwen2.5-coder:7b,readme_plus_tree,16,1.0,0.65625,0.42765705495484907,0.06043534838177695,0.14610259803284992,0.4213541666666667,13.708249999999998,37.27970119488134,5309.5,7.5
qwen2.5-coder:7b,routes_controllers,16,1.0,0.34062499999999996,0.32546341526120937,0.15359239718614717,0.15923479838001625,0.5141369047619048,16.07,28.522720405946473,17247.625,6.375
