match_threshold,condition,rows,parse_ok,use_case_recall,path_fidelity,unsupported_feature_rate,composite_score
0.2,bm25_retrieved_code,48,0.9166666666666666,0.5314639710779415,0.12033860698109211,0.2911819083694083,38.92600556176904
0.2,file_tree_only,48,1.0,0.4601505418601006,0.04959079080916878,0.3134424603174603,33.54267990262236
0.2,full_selected_context,48,0.9791666666666666,0.5469604129530601,0.15133067584146456,0.2206679894179894,42.42473697311623
0.2,models_services,48,1.0,0.4831540803967274,0.10125257141998212,0.290922619047619,37.07149045942554
0.2,oracle_upper_bound,48,1.0,0.5425526169092346,0.17848623798214572,0.18234953703703705,43.060556046285605
0.2,random_code_same_budget,48,1.0,0.5326344917337564,0.1306066162260359,0.27843915343915343,38.97616261895735
0.2,readme_only,48,1.0,0.484412523750759,0.02293733465608466,0.2110615079365079,40.0648835321368
0.2,readme_plus_code,48,0.9583333333333334,0.5511386387305505,0.13730029085497833,0.23323412698412696,42.496490926728065
0.2,readme_plus_tree,48,1.0,0.499559917206976,0.06119676248024461,0.2423363095238095,39.914304166448
0.2,routes_controllers,48,0.9583333333333334,0.4470781771333241,0.12126862803202088,0.2770667989417989,34.889955853257355
0.24,bm25_retrieved_code,48,0.9166666666666666,0.46810514852794255,0.11910261200439774,0.37267316017316016,35.94283264071503
0.24,file_tree_only,48,1.0,0.3783430417621594,0.052275245009620004,0.48055555555555557,29.079650626006906
0.24,full_selected_context,48,0.9791666666666666,0.4799800995573053,0.1508325629810005,0.34436177248677247,38.89701745857749
0.24,models_services,48,1.0,0.4160911494551199,0.1003857264180925,0.4007523148148148,33.58071133427049
0.24,oracle_upper_bound,48,1.0,0.4976411252146546,0.18155483942314296,0.27621527777777777,40.71416983009672
0.24,random_code_same_budget,48,1.0,0.45648672201981016,0.14068887750807393,0.40198412698412694,35.313014991197164
0.24,readme_only,48,1.0,0.4142190836124661,0.022421010702260703,0.32604993386243386,36.425361414258155
0.24,readme_plus_code,48,0.9583333333333334,0.49070819907216956,0.14548406578540507,0.3261656746031745,39.67404447345559
0.24,readme_plus_tree,48,1.0,0.4333790902724726,0.061567379792826206,0.34885912698412697,36.56811313019109
0.24,routes_controllers,48,0.9583333333333334,0.3892392227870169,0.12250994747646536,0.3881613756613757,31.70520930852607
0.28,bm25_retrieved_code,48,0.9166666666666666,0.35030306703100816,0.12663863335738337,0.5411510942760943,30.45453249075696
0.28,file_tree_only,48,1.0,0.26243141050126345,0.055218604697771366,0.6552827380952381,23.451353035754874
0.28,full_selected_context,48,0.9791666666666666,0.362579373241138,0.14922387941919193,0.5050595238095239,33.27175340467856
0.28,models_services,48,1.0,0.28193755794858727,0.1006468490173847,0.6267691798941799,26.63215742449103
0.28,oracle_upper_bound,48,1.0,0.394160771826213,0.18178743930232025,0.41364914021164023,35.836708653584004
0.28,random_code_same_budget,48,1.0,0.3307498057498057,0.13920856631794132,0.5584242724867724,29.3453323007451
0.28,readme_only,48,1.0,0.29224636678680804,0.015612974987974986,0.5497767857142858,29.83457925763371
0.28,readme_plus_code,48,0.9583333333333334,0.3725575078516255,0.15723875124544767,0.49414682539682536,34.255354352236054
0.28,readme_plus_tree,48,1.0,0.3244256254366549,0.06802458041297328,0.5123511904761905,31.32843238997315
0.28,routes_controllers,48,0.9583333333333334,0.2710597205082499,0.13632478054353056,0.6045386904761905,25.88946056974928
0.32,bm25_retrieved_code,48,0.9166666666666666,0.3325609133513545,0.1229117815055315,0.557711038961039,29.530467250571586
0.32,file_tree_only,48,1.0,0.25474291843777136,0.05556582691999359,0.6683035714285713,23.03968094099098
